menu_id,food_id
1,1
9,1
17,1
20,1
14,2
20,2
3,3
7,3
10,3
12,3
18,3
13,4
16,4
13,5
12,6
18,6
19,6
6,7
8,7
9,7
16,7
11,8
15,9
17,9
2,10
5,10
11,10
15,11
3,12
6,12
10,12
2,13
4,13
14,13
19,13
8,14
7,15
5,17
1,18
4,19
21,21
31,21
34,21
40,21
23,22
27,22
28,23
32,23
35,23
26,24
24,25
28,25
29,25
40,25
26,26
30,26
31,26
36,26
37,26
24,27
25,27
30,27
32,28
33,28
29,29
35,29
38,29
22,30
33,30
37,30
23,31
21,32
22,32
27,32
39,32
34,33
38,33
36,34
39,34
25,35
43,36
54,36
55,36
46,37
47,37
53,37
54,37
45,38
49,38
60,38
41,39
42,39
43,39
46,39
48,39
57,39
59,39
41,40
45,40
50,40
52,40
47,41
49,41
50,41
53,41
57,41
59,41
44,42
56,42
58,42
44,43
51,43
56,43
42,44
51,44
52,44
58,44
60,44
48,45
55,45
81,46
82,47
86,47
85,48
89,48
90,49
88,51
84,52
85,52
81,53
87,53
88,54
83,57
86,57
90,57
84,59
82,60
83,60
87,60
89,60
69,63
63,64
68,65
72,66
65,67
74,68
76,68
63,69
71,69
69,70
75,70
80,70
67,71
73,71
78,72
80,72
61,73
62,73
64,73
70,73
71,73
79,73
70,75
75,75
77,75
66,76
72,76
73,76
62,77
74,77
61,78
66,78
76,78
77,78
79,78
67,79
68,79
78,79
64,80
65,80
97,83
98,83
91,84
92,84
93,84
97,84
93,85
98,85
100,85
94,86
96,86
94,87
99,87
95,88
100,88
91,89
95,89
99,89
92,90
96,90
105,91
107,91
111,91
156,91
161,91
173,91
180,91
182,91
185,91
104,92
114,92
116,92
118,92
170,92
188,92
103,93
121,93
122,93
123,93
135,93
136,93
138,93
140,93
144,93
158,93
164,93
166,93
167,93
181,93
184,93
189,93
115,94
120,94
142,94
152,94
153,94
155,94
157,94
172,94
179,94
196,94
197,94
109,95
113,95
124,95
125,95
129,95
133,95
143,95
151,95
162,95
177,95
108,96
119,96
128,96
130,96
131,96
159,96
165,96
168,96
186,96
194,96
198,96
193,97
199,97
200,97
101,98
102,98
112,98
117,98
126,98
127,98
132,98
149,98
175,98
176,98
183,98
187,98
195,98
106,99
137,99
139,99
141,99
154,99
163,99
192,99
110,100
134,100
145,100
146,100
147,100
148,100
150,100
160,100
169,100
171,100
174,100
178,100
190,100
191,100
107,101
124,101
133,101
137,101
169,101
192,101
101,102
125,102
135,102
147,102
154,102
166,102
173,102
186,102
187,102
188,102
199,102
113,103
115,103
116,103
132,103
149,103
150,103
155,103
158,103
160,103
174,103
182,103
191,103
194,103
102,104
103,104
106,104
110,104
114,104
117,104
131,104
148,104
170,104
177,104
181,104
183,104
122,105
134,105
143,105
151,105
162,105
165,105
167,105
179,105
189,105
193,105
120,106
136,106
140,106
141,106
163,106
171,106
172,106
185,106
197,106
109,107
119,107
123,107
126,107
129,107
145,107
152,107
164,107
168,107
176,107
196,107
200,107
111,108
127,108
128,108
139,108
142,108
144,108
156,108
180,108
190,108
198,108
104,109
121,109
130,109
138,109
146,109
153,109
157,109
159,109
161,109
175,109
195,109
105,110
108,110
112,110
118,110
178,110
184,110
